episode,reward
0,13
1,21
2,10
3,13
4,27
5,31
6,8
7,13
8,21
9,10
10,20
11,15
12,12
13,25
14,11
15,9
16,11
17,21
18,22
19,12
20,23
21,16
22,14
23,33
24,26
25,26
26,11
27,19
28,22
29,30
30,17
31,23
32,10
33,18
34,18
35,9
36,15
37,10
38,15
39,27
40,15
41,48
42,9
43,13
44,13
45,13
46,27
47,68
48,19
49,14
50,14
51,23
52,10
53,14
54,11
55,90
56,24
57,7
58,17
59,37
60,19
61,31
62,16
63,30
64,20
65,18
66,16
67,12
68,25
69,27
70,15
71,26
72,14
73,30
74,44
75,37
76,12
77,47
78,44
79,35
80,13
81,11
82,45
83,19
84,32
85,20
86,59
87,22
88,17
89,18
90,34
91,35
92,24
93,44
94,25
95,9
96,16
97,25
98,26
99,30
100,17
101,9
102,20
103,13
104,20
105,43
106,49
107,12
108,15
109,29
110,24
111,18
112,16
113,12
114,12
115,41
116,25
117,17
118,18
119,9
120,18
121,8
122,40
123,10
124,14
125,36
126,12
127,24
128,62
129,11
130,9
131,10
132,15
133,38
134,23
135,19
136,13
137,15
138,23
139,27
140,24
141,24
142,22
143,33
144,34
145,11
146,19
147,64
148,29
149,42
150,11
151,11
152,44
153,32
154,18
155,17
156,12
157,19
158,13
159,27
160,8
161,17
162,23
163,22
164,46
165,45
166,19
167,28
168,33
169,40
170,21
171,16
172,58
173,28
174,27
175,18
176,19
177,91
178,43
179,118
180,17
181,92
182,67
183,42
184,72
185,93
186,27
187,22
188,89
189,159
190,39
191,45
192,114
193,98
194,66
195,199
196,138
197,121
198,96
199,110
200,117
201,152
202,199
203,26
204,168
205,162
206,192
207,148
208,199
209,130
210,199
211,199
212,199
213,199
214,199
215,199
216,199
217,199
218,199
219,199
220,199
221,199
222,199
223,198
224,199
225,199
226,199
227,199
228,199
229,199
230,199
231,199
232,199
233,199
234,199
235,199
236,199
237,199
238,199
239,199
240,199
241,199
242,199
243,199
244,199
245,199
246,199
247,199
248,199
249,199
250,199
251,199
252,199
253,199
254,199
255,199
256,199
257,199
258,199
259,199
260,199
261,199
262,199
263,199
264,199
265,94
266,11
267,152
268,199
269,113
270,63
271,199
272,199
273,102
274,199
275,199
276,199
277,138
278,199
279,49
280,199
281,199
282,177
283,166
284,154
285,150
286,199
287,199
288,199
289,199
290,199
291,199
292,199
293,199
294,199
295,199
296,199
297,199
298,199
299,199
300,199
301,199
302,199
303,199
304,199
305,199
306,199
307,199
308,199
309,199
310,199
311,199
312,199
313,199
314,199
315,199
316,199
317,199
318,199
319,199
320,199
321,199
322,199
323,199
324,199
325,199
326,199
327,199
328,199
329,199
330,199
331,199
332,199
333,199
334,199
335,199
336,122
337,199
338,199
339,199
340,67
341,199
342,199
343,199
344,77
345,195
346,199
347,199
348,199
349,199
350,87
351,199
352,199
353,199
354,199
355,199
356,199
357,199
358,199
359,199
360,199
361,199
362,199
363,199
364,199
365,84
366,199
367,199
368,199
369,199
370,199
371,51
372,16
373,199
374,199
375,199
376,199
377,199
378,143
379,199
380,126
381,199
382,199
383,191
384,199
385,199
386,199
387,199
388,199
389,199
390,199
391,199
392,199
393,199
394,199
395,199
396,196
397,199
398,199
399,199
400,199
401,187
402,199
403,199
404,100
405,199
406,199
407,102
408,199
409,199
410,88
411,80
412,87
413,65
414,92
415,104
416,95
417,100
418,89
419,95
420,110
421,199
422,110
423,102
424,199
425,155
426,157
427,131
428,143
429,140
430,165
431,172
432,193
433,128
434,121
435,156
436,155
437,161
438,145
439,135
440,150
441,172
442,154
443,177
444,194
445,187
446,165
447,149
448,119
449,133
450,181
451,134
452,152
453,140
454,157
455,147
456,192
457,177
458,169
459,138
460,161
461,145
462,143
463,159
464,164
465,144
466,166
467,146
468,199
469,161
470,152
471,144
472,163
473,152
474,91
475,192
476,188
477,144
478,133
479,149
480,130
481,110
482,115
483,130
484,128
485,147
486,110
487,164
488,128
489,109
490,135
491,111
492,129
493,107
494,120
495,142
496,110
497,128
498,124
499,116
500,108
501,131
502,115
503,107
504,34
505,107
506,23
507,97
508,112
509,29
510,13
511,14
512,16
513,11
514,19
515,67
516,155
517,24
518,10
519,17
520,19
521,39
522,7
523,10
524,41
525,11
526,12
527,10
528,10
529,11
530,11
531,11
532,12
533,92
534,125
535,112
536,78
537,166
538,199
539,154
540,107
541,199
542,199
543,182
544,139
545,199
546,131
547,144
548,143
549,199
550,199
551,199
552,193
553,147
554,162
555,199
556,181
557,144
558,199
559,183
560,183
561,199
562,199
563,154
564,158
565,148
566,119
567,154
568,167
569,199
570,137
571,159
572,175
573,141
574,165
575,165
576,155
577,173
578,159
579,199
580,140
581,199
582,149
583,149
584,174
585,150
586,182
587,162
588,196
589,199
590,199
591,199
592,199
593,199
594,175
595,199
596,199
597,199
598,184
599,160
600,175
601,193
602,199
603,199
604,199
605,199
606,199
607,199
